finger,thumb_1,thumb_2,thumb_3
index,0,0,60
index,0,40,0
index,0,80,30
index,0,80,60
index,0,100,30
index,0,100,60
index,40,40,30
index,40,80,0
index,40,100,0
index,80,0,30
index,80,40,0
index,100,0,30
index,100,0,60
index,100,40,0
index,100,40,30
index,100,40,60
index,100,80,0
index,100,80,30
index,100,80,60
index,100,100,0
index,100,100,30
index,100,100,60
middle,0,0,60
middle,0,40,0
middle,0,80,30
middle,0,80,60
middle,0,100,30
middle,0,100,60
middle,40,40,30
middle,40,40,60
middle,40,80,0
middle,40,80,30
middle,40,100,0
middle,40,100,30
middle,40,100,60
middle,80,0,30
middle,80,0,60
middle,80,40,0
middle,80,80,0
middle,80,100,0
middle,100,0,30
middle,100,40,0
ring,0,0,60
ring,0,40,0
ring,0,80,30
ring,0,80,60
ring,0,100,30
ring,0,100,60
ring,40,40,30
ring,40,40,60
ring,40,80,0
ring,40,80,30
ring,40,100,0
ring,40,100,30
ring,40,100,60
ring,80,0,30
ring,80,0,60
ring,80,40,0
ring,80,40,60
ring,80,80,0
ring,80,80,30
ring,80,80,60
ring,80,100,0
ring,80,100,30
ring,80,100,60
ring,100,0,30
ring,100,0,60
ring,100,40,0
ring,100,40,30
ring,100,80,0
ring,100,100,0
